artist,country,lineage
DJ Soda,South Korean,Asian
Melody Day ,South Korean,Asian
Hot Issue,South Korean,Asian
SeeYa,South Korean,Asian
Monday Kiz ,South Korean,Asian
Sana ,South Korean,Asian
Oh!GG,South Korean,Asian
Black Beat,South Korean,Asian
Choi Min-hwan,South Korean,Asian
Category:Winner  members,South Korean,Asian
Choi Jung-won,South Korean,Asian
Kim Do-yeon ,South Korean,Asian
Jang Su-won,South Korean,Asian
Song Chang-sik,South Korean,Asian
Taeyeon discography,South Korean,Asian
Yekwon Sunwoo,South Korean,Asian
Category:Donghae & Eunhyuk members,South Korean,Asian
Thunder ,South Korean,Asian
Category:Shinee members,South Korean,Asian
Tim,South Korean,Asian
Diealright,South Korean,Asian
GI ,South Korean,Asian
Ali,South Korean,Asian
Cheeze,South Korean,Asian
Oathean,South Korean,Asian
Boohwal,South Korean,Asian
Jeongyeon,South Korean,Asian
Loco,South Korean,Asian
JBJ ,South Korean,Asian
V,South Korean,Asian
Changjo,South Korean,Asian
List of songs written and produced by Kino,South Korean,Asian
Wooseok x Kuanlin,South Korean,Asian
Luna,South Korean,Asian
Madtown,South Korean,Asian
Kwon Nara,South Korean,Asian
Dia,South Korean,Asian
San E,South Korean,Asian
Chungha,South Korean,Asian
Fin.K.L,South Korean,Asian
Mir ,South Korean,Asian
Jang Wooyoung,South Korean,Asian
Category:H.O.T.  members,South Korean,Asian
Teen Top,South Korean,Asian
Sonamoo,South Korean,Asian
Seomoon Tak,South Korean,Asian
STAYC,South Korean,Asian
Choi Young-jae,South Korean,Asian
Maytree ,South Korean,Asian
...Whatever That Means,South Korean,Asian
We Are The Night,South Korean,Asian
Kim Jung-ah,South Korean,Asian
M.O.N.T,South Korean,Asian
Jung Ha-na,South Korean,Asian
Girls' Generation,South Korean,Asian
Seo Taiji,South Korean,Asian
Baby Vox,South Korean,Asian
Kan Mi-youn,South Korean,Asian
Koo Jun-yup,South Korean,Asian
Kim Sung-joo,South Korean,Asian
Category:Twice,South Korean,Asian
Lee Soo-young,South Korean,Asian
Chuu,South Korean,Asian
The Grace,South Korean,Asian
Kim Seok-jin,South Korean,Asian
Norazo,South Korean,Asian
Jewelry,South Korean,Asian
Take ,South Korean,Asian
Category:I.O.I members,South Korean,Asian
Jang Jae-in,South Korean,Asian
AleXa,South Korean,Asian
Gill,South Korean,Asian
